"Token","InstrumentName","ShortName","Series","ExpiryDate","StrikePrice","OptionType","CALevel","PermittedToTrade","IssueCapital","WarningQty","FreezeQty","CreditRating","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotMarketEligibility","SpotMarketEligibility","AuctionMarketEligibility","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","MarginPercentage","MinimumLotQty","LotSize","TickSize","CompanyName","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","LowPriceRange","HighPriceRange","SecurityExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MF","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","ExcerciseStartDate","ExcerciseEndDate","OldToken","AssetInstrument","AssetName","AssetToken","IntrinsicValue","ExtrinsicValue","ExcerciseStyle","EGM","AGM","Interest","Bonus","Rights","Dividends","ExAllowed","ExRejectionAllowed","PlAllowed","IsThisAsset","IsCorpAdjusted","LocalUpdateDatetime","DeleteFlag","Remarks","BasePrice","ExchangeCode"
"5828","OPTCUR","USDINR","OPTION","08-Dec-2023",77,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",5.9875,6.7725,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",6.2275,"USDINR"
"5833","OPTCUR","USDINR","OPTION","08-Dec-2023",77.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",5.7375,6.5225,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",5.98,"USDINR"
"5837","OPTCUR","USDINR","OPTION","08-Dec-2023",77.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",5.485,6.27,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",5.73,"USDINR"
"5855","OPTCUR","USDINR","OPTION","08-Dec-2023",77.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",5.235,6.02,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",5.4825,"USDINR"
"5862","OPTCUR","USDINR","OPTION","08-Dec-2023",78,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",4.985,5.77,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",5.2325,"USDINR"
"5883","OPTCUR","USDINR","OPTION","08-Dec-2023",78.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",4.735,5.52,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.985,"USDINR"
"5898","OPTCUR","USDINR","OPTION","08-Dec-2023",78.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",4.485,5.27,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.7375,"USDINR"
"5918","OPTCUR","USDINR","OPTION","08-Dec-2023",78.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",4.235,5.02,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.4925,"USDINR"
"5939","OPTCUR","USDINR","OPTION","08-Dec-2023",79,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",3.985,4.77,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.245,"USDINR"
"5943","OPTCUR","USDINR","OPTION","08-Dec-2023",79.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",3.735,4.52,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4,"USDINR"
"5945","OPTCUR","USDINR","OPTION","08-Dec-2023",79.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",3.485,4.27,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",3.7575,"USDINR"
"5947","OPTCUR","USDINR","OPTION","08-Dec-2023",79.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",3.235,4.02,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",3.5175,"USDINR"
"6553","OPTCUR","USDINR","OPTION","08-Dec-2023",80,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",2.9875,3.7725,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",3.38,"USDINR"
"7231","OPTCUR","USDINR","OPTION","08-Dec-2023",80.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",12,1,1000,0.0025,"US Dollars","","","","",2.7375,3.5225,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",3.13,"USDINR"
